video_id,title,channel_title,published_at,category_id,tags,duration,views,likes,comments,region
O1sY2Oo-45k,"Shakira, Maluma - Chantaje (Letra)",sweetblue.,2025-11-04T00:08:03Z,10,"['recomendados', 'sped up', 'letra en español', 'lyrics', 'español', 'sub español', 'traducción', 'tiktok', 'edit', 'sweetblue', 'recomendación', 'para ti', 'búsquedas', 'letra', 'musica', 'musica independiente', 'trend']",PT3M16S,1525001,2084,26,
c_YrKdMPw2k,Honest Trailers | Peacemaker,Screen Junkies,2025-11-04T18:00:54Z,1,[],PT9M47S,143515,9546,659,
OPZoLZBXD0Y,RATED R. RATED R. RATED R. | Dispatch (Episode 3 + 4),CoryxKenshin,2025-11-04T22:49:53Z,20,"['dispatch', 'dispatch game', 'gameplay', 'episode 3', 'episode 4', 'walkthrough', 'playthrough', 'turnover', 'restructure', 'rated r', 'blonde blazer', 'date', 'invisigal', 'movie', 'choice', 'coryxkenshin', 'cory', 'kenshin', 'funny', 'hilarious', 'moments', 'edits', 'reaction']",PT1H52M19S,997994,175668,23237,
TN4LP7j5cbo,JISOO X ZAYN - EYES CLOSED (OFFICIAL LYRIC VIDEO),JISOO,2025-11-04T15:00:04Z,24,"['YG Entertainment', 'YG', '와이지', 'K-po\u200bp', 'BLACKPINK', '블랙핑크', '블핑', '지수', 'JISOO', 'BLINK', '블링크', 'jisoo', 'BLISSOO', 'Zayn', 'Eyes Closed', 'MUSICVIDEO', 'MV']",PT3M1S,1020226,39225,3216,
lU_nQwUcJdU,Titans are getting a JETPACK!?,Aztecross,2025-11-04T18:14:49Z,20,"['Destiny', 'Destiny 2', 'Destiny bungie', 'Bungie', 'Destiny Aztecross', 'Aztecross']",PT13M51S,94068,5304,1185,
veR9KoNDYVw,TACO TUESDAY ADMIN ABUSE! 🌮,CaylusBlox,2025-11-05T00:20:33Z,20,"['caylusblox', 'caylus roblox', 'caylus', 'roblox', 'caylus scary', 'Steal a brainrot update', 'ADMIN ABUSE In Steal a Brainrot!', 'Steal a Brainrot UPDATE + Admin Abuse', 'admin abuse', 'caylus taco tuesday', 'steal a brainrot', 'extinct steal a brainrot', 'la extinct combination', 'witchs fuse', 'caylus steal a brainrot', 'caylus dump', 'dump', 'dump update', 'Caylus Hosts HALLOWEEN ADMIN ABUSE!', 'caylus aura', 'caylus admin abuse', 'taco teusday', 'caylus stream']",PT3H25M8S,1561208,23590,360,
JAHGpPJsbZM,Romeo Santos – Tuyo (Letra/Lyrics),Sauce Beat,2025-11-04T17:58:40Z,10,"['Romeo Santos Tuyo', 'Tuyo Romeo Santos', 'Romeo Santos Tuyo letra', 'Romeo Santos Tuyo lyrics', 'Tuyo letra', 'Tuyo lyrics', 'Romeo Santos Tuyo español', 'Romeo Santos Tuyo video oficial', 'Romeo Santos mix', 'Bachata romántica', 'bachata', 'Música latina', 'Bachata sensual', 'Tuyo bachata', 'Tuyo Romeo Santos letra oficial', 'Romeo Santos', 'musica', 'Bachata mix', 'Música romántica']",PT3M39S,366220,1013,5,
8Ry41LBsSuQ,Call of Duty: Black Ops 7 | Launch Trailer (PC Features Spotlight),Call of Duty,2025-11-04T17:00:02Z,20,"['call of duty', 'cod', 'activision']",PT1M25S,1536240,5385,859,
myZmtuBrQvM,THE MOON WOKE UP IN ROBLOX..,Tyler & Snowi,2025-11-04T22:42:00Z,20,"['funny', 'moments', 'funny moments', 'secrets', 'all secrets', 'the moon wakes up', 'the moon woke up', 'the moon woke up episode 1', 'the moon woke up episode 2', 'the moon woke up episode 3', 'the moon woke up episode 4', 'the moon woke up episode 5', 'the moon woke up reaction', 'the moon woke up all episodes', 'the moon woke up episode 6', 'the moon woke up explained', 'the moon wakes up episode 6', 'the moon wakes up part 2', 'the moon wakes up episode 4', 'the moon wakes up part 3', 'tyler and snowi', 'tyler', 'snowi']",PT27M14S,229498,12048,297,
zs7ISrSdVUI,Ellie Goulding - Love Me Like You Do (Lyrics Cover) | Pop Mage,Pop Mage,2025-11-03T10:04:31Z,10,"['pop songs', 'love songs', 'top songs', 'pop love songs', 'Love Me Like You Do', 'Love Me Like You Do Lyrics', 'Love Me Like You Do Cover']",PT3M50S,10171804,21076,214,
RdUPs9e1bUk,Baahubali - The Eternal War Part 1 Teaser (Telugu) | Prabhas | Ishan Shukla | SS Rajamouli | 2027,Baahubali Movie,2025-11-04T14:59:01Z,1,"['Baahubali Trailer', 'Bahubali', 'Prabhas', 'Rana Daggubati', 'SS Rajamouli', 'MM Keeravani', 'Tamannaah', 'Anushka', 'Sathya Raj', 'baahubali 2', 'Baahubali 2 – The Conclusion', 'Baahubali 2 – The Conclusion motion poster', '#baahubali', 'motion', 'poster']",PT2M28S,738009,55653,943,
Ob1obfsosUA,Opening 99 OWNER LUCKY BLOCKS In Steal A Brainrot..,Foltyn,2025-11-04T16:02:43Z,20,"['foltyn', 'foltyn roblox', 'family friendly', 'roblox', 'roblox foltyn', 'foltyn family', 'funny', 'no swearing', 'foltyn family roblox', 'roblox foltyn family', 'blade ball', 'roblox blade ball', 'foltyn blade ball', 'kid friendly']",PT13M23S,595866,21796,3474,
A5nm1l8qIt0,Camila - De Qué Me Sirve La Vida (Letra / Lyrics),Luis Jams,2025-11-04T16:00:06Z,10,"['sub español', 'subtitulada al español', 'traducida al español', 'traducción', 'traducido', 'subtítulos', 'subtitulado', 'letra', 'lyrics', 'hq', 'hd', 'topic', 'camila', 'de qué me sirve la vida', 'dejarte de amar', 'álbum', '2011']",PT4M9S,247097,626,5,
Y6UXdDbuNFc,A Man on the Inside | Season 2 Official Trailer | Netflix,Netflix,2025-11-04T17:00:00Z,24,"['2025 trailer', 'A Man on the Inside Netflix', 'A Man on the Inside Season 2 trailer', 'Big Man on Campus', 'Mike Schur new comedy', 'Netflix comedy series', 'Netflix original series', 'Ted Danson Netflix', 'Ted Danson new show', 'The Good Place creator', 'best comedies on Netflix', 'campus comedy', 'college comedy', 'funny Netflix shows', 'new Netflix trailer', 'sitcom trailer']",PT2M19S,81221,2433,115,
27L0V20ljMQ,steal a brainrot admin abuse,KreekCraft,2025-11-05T00:18:35Z,20,[],PT41M30S,1881892,22673,49,
