video_id,title,channel_title,published_at,category_id,tags,duration,views,likes,comments,region
I3IcQsfC7jA,One Direction - Night Changes (Lyrics),7clouds,2025-11-05T15:42:11Z,10,"['night changes', 'night changes lyrics', 'lyrics night changes', 'one direction', 'lyrics', 'one direction night changes', 'night changes one direction', 'one direction night changes lyrics', 'lyrics one direction night changes', 'one direction lyrics', 'lyrics night changes one direction', 'night changes one direction lyrics', ""We're only gettin' older baby"", ""And I've been thinkin' about it lately"", 'Does it ever drive you crazy', 'Even when the night changes', 'It will never change me and you', 'pop', 'music']",PT3M47S,441241,1731,91,
NQypHE9_Fm4,Five Nights at Freddy's 2 | Official Trailer 2,Universal Pictures,2025-11-05T05:02:37Z,24,[],PT1M45S,3073378,241107,9454,
8q6tDjxpajQ,NO MORE SECRETS (Dispatch 5 & 6),jacksepticeye,2025-11-05T17:00:13Z,20,['jacksepticeye'],PT2H11M26S,739668,64502,4446,
JIFu2DZuk5Q,Midnight Call - Harkirat Sangha | Starboy X | Interstellar,Harkirat Sangha,2025-11-05T15:58:32Z,10,[],PT2M44S,16741,849,44,
UtZ1qya0X2M,The Abandons | Official Trailer | Netflix,Netflix,2025-11-05T16:00:00Z,24,"['Blood', 'Family', 'Family Drama', 'Gillian Anderson', 'Gritty', 'Kurt Sutter', 'Lena Headey', 'Lucas Till', 'Matriarchs', 'Nick Robinson', 'Sons of Anarchy', 'TV Drama', 'The Abandons', 'Washington', 'Western']",PT2M8S,123509,2782,233,
OPZoLZBXD0Y,RATED R. RATED R. RATED R. | Dispatch (Episode 3 + 4),CoryxKenshin,2025-11-04T22:49:53Z,20,"['dispatch', 'dispatch game', 'gameplay', 'episode 3', 'episode 4', 'walkthrough', 'playthrough', 'turnover', 'restructure', 'rated r', 'blonde blazer', 'date', 'invisigal', 'movie', 'choice', 'coryxkenshin', 'cory', 'kenshin', 'funny', 'hilarious', 'moments', 'edits', 'reaction']",PT1H52M19S,3445511,291581,30866,
qNw8ejrI0nM,DADDY YANKEE || BZRP Music Sessions #0/66,Bizarrap,2025-11-06T00:00:56Z,24,"['bizarrap', 'biza', 'bisa', 'bizzarrap', 'bzrp', 'bzrp music sessions', 'trap', 'musica latina', 'argentina', 'méxico', 'españa', 'hip hop', 'rap', 'biza session', 'reggaeton', 'music session', 'USA', 'Puerto rico', 'el biza la soltó', 'España', 'latin music', 'puerto rico', 'el biza', 'shakira', 'shak y biza', 'bisa y shak', 'una loba', 'bellaco', 'gonzalo', 'bizarraaap', 'DADDY YANKEE || BZRP Music Sessions #0/66', '66', 'masivo', 'fuego', 'daddy', 'daddy yankee', 'yankee', 'dy', 'alias el calenton', 'codigo 787', '787', 'big boss', 'cangris', 'reggaeton old school', 'barrio fino']",PT2M40S,543812,566657,48018,
-INxQXu9utM,Dress To Impress x Wicked: For Good | 2025 Cinematic Gameplay Trailer,Dress To Impress,2025-11-05T16:00:07Z,20,[],PT3M10S,137884,16382,2699,
1EJiDELYp6c,The new Witcher is so bad now..,Asmongold TV  ,2025-11-05T16:00:01Z,20,"['asmongold', 'asmongold reacts', 'asmongold wow', 'asmongold highlights', 'asmongold youtube', 'world of warcraft', 'asmongold funny', 'asmongold tv', 'asmongold channel', 'zackrawrr']",PT41M42S,456020,20572,4163,
lFeqgeliXOI,*NSYNC - This I Promise You (Lyrics),Glim R&B,2025-11-04T17:24:22Z,10,"['This I Promise You *NSYNC', '*NSYNC This I Promise You', 'I will take you in my arms', 'And hold you right where you belong', ""'Til the day my life is through"", 'This I promise you babe', 'Just close your eyes', 'Each loving day', ""I know this feeling won't go away"", 'Every word I say is true', 'This I promise you', 'This I Promise You', 'this I promise you', 'nsync this I promise you', 'this is promise you nsync', 'nsync', 'NSYNC', '*NSYNC', 'I promise you', 'I promise you baby', 'hold you right where you belong', 'Nsync']",PT4M51S,1368002,1881,35,
AVaXDAqkKAQ,"V for Vendetta - 20th Anniversary Announcement Trailer (2026) Hugo Weaving, Natalie Portman",IGN,2025-11-05T17:00:16Z,24,"['Action', 'Adventure', 'Blu-ray', 'DVD', 'Drama', 'Fantasy', 'HD-DVD', 'Silver Pictures', 'Superhero', 'Theater', 'Thriller', 'UMD-Video', 'V for Vendetta', 'Warner Bros. Pictures', 'Warner Home Video', 'v for vendetta anniversary', 'v for vendetta 20th anniversary']",PT2M59S,70583,3335,495,
VdRQPAp4XEs,PowerWashing is so back...,SMii7Y,2025-11-05T20:13:00Z,20,"['smii7y', 'smii7yplus', 'smii7y+', 'smii7y plus', 'powerwash simulator 2', 'powerwash simulator 2 gameplay', 'powerwash simulator 2 first look', 'powerwash simulator 2 steam', 'powerwash simulator', 'lets play powerwash simulator 2', 'powerwash simulator 2 ep 1', 'powerwash simulator 2 game', 'powerwash simulator 2 part 1', 'powerwash', 'simulator games', 'power wash simulator 2', 'power wash simulator']",PT36M47S,238542,25404,1501,
67JOBIX2MsU,"Don’t Stop Believin’ - Music Travel Love & Friends (at Shura Island, The Red Sea)",Music Travel Love,2025-11-05T01:00:02Z,10,"['Music Travel Love', 'musictravellove', ""Don't Stop Believing"", ""Don't Stop Believin"", 'Red Sea', 'Acoustic Cover', 'Live', 'Lyrics', 'Classic songs', 'Music Travel Love Songs', 'Best Covers', 'Zena Emad', 'Hamza Hawsawi', 'Zena Emad Songs']",PT3M40S,1588983,7531,316,
0-QHLFqppLQ,FNAF 2 Movie Trailer 2 - FULL ANALYSIS,FuhNaff,2025-11-05T16:00:01Z,20,"['fnaf', 'fnaf 2', 'fnaf 4', 'fnaf 3', 'fnaf 1', 'fnaf 6', 'fnaf2', 'fnaf dbd', 'fnaf lore', 'fnaf news', 'fnaf meme', 'fnaf ruin', 'fnaf foxy', 'fnaf movie', 'fnaf music', 'fnaf books', 'fnaf mimic', 'fnaf 2 movie', 'fnaf movie 2', 'fnaf theory', 'fnaf 2 remake', 'fnaf 2 teaser', 'fnaf 2 trailer', 'fnaf fan games', 'fnaf timeline', 'fnaf movie news', 'fuhnaff', 'fnaf movie trailer']",PT16M3S,66003,5932,309,
gNX63-HcDKg,Dispatch: Episode 5 & 6 - Full Game Playthrough,BrosClanYt,2025-11-05T18:44:36Z,20,"['dispatch episode 5', 'dispatch full game', 'dispatch episode 6', 'dispatch episode 5 and 6', 'dispatch episode 5 & 6 full game', 'dispatch episode 5 & 6', 'dispatch episode 5 and 6 walkthrough', 'dispatch full walkthrough', 'dispatch full gameplay', 'dispatch gameplay', 'dispatch', 'dispatch episode 5 and 6 full gameplay', 'episode 5 and 6 dispatch', 'episode 5 & 6 dispatch', 'episode 5 dispatch', 'episode 6 dispatch', 'dispatch 5 and 6', 'dispatch episodes 5 & 6', 'dispatch episodes 5 and 6', 'dispatch game']",PT1H31M22S,120415,3540,305,
TN4LP7j5cbo,JISOO X ZAYN - EYES CLOSED (OFFICIAL LYRIC VIDEO),JISOO,2025-11-04T15:00:04Z,10,"['YG Entertainment', 'YG', '와이지', 'K-po\u200bp', 'BLACKPINK', '블랙핑크', '블핑', '지수', 'JISOO', 'BLINK', '블링크', 'jisoo', 'BLISSOO', 'Zayn', 'Eyes Closed', 'MUSICVIDEO', 'MV']",PT3M1S,4988674,56632,3835,
m43HC9T9YM8,Mastiii 4 - Official Trailer| Riteish Deshmukh | Vivek Oberoi | Aftab Shivdasani | 21st Nov,Zee Studios,2025-11-04T06:40:28Z,1,"['Zee Studios', 'Bollywood Cinema', 'Hindi Cinema', 'Bollywood movie', 'Latest bollywood movie', 'upcoming bollywood movie', 'Promo', 'Trailer', 'Teaser', 'zee', 'entertainment', 'popular', 'famous', 'superhit', 'Blockbuster movie']",PT3M5S,9276006,125574,30227,
k4VDsidZmQ8,"Skyrim, but the road is trying to kill you (DEATH ROAD)",DougDoug: Published Author,2025-11-05T20:00:44Z,20,"['DougDoug', 'DougDoug Youtube Channel', 'Channel Youtube DougDoug', 'doug doug', 'twitch', 'twitch chat', 'dougdoug twitch chat', 'twitch chat plays', 'dougdoug twitch', 'skyrim', 'joov', 'death road', 'skyrim speedrun', 'skyrim mods', 'mod', 'skyrim challenge', 'elder scrolls', 'country roads']",PT33M39S,177695,15036,1115,
5wvnyUEE7Tc,Nanak Naam Rakhaya I Diljit Dosanjh I Harmanjeet Singh I Gurmoh,Diljit Dosanjh,2025-11-04T12:30:36Z,10,[],PT4M26S,690810,48544,2215,
GJKsRRX3v1Q,Baahubali - The Eternal War Part 1 Teaser (Hindi) | Prabhas | Ishan Shukla | SS Rajamouli | 2027,Baahubali Movie,2025-11-04T14:59:00Z,1,"['Baahubali Trailer', 'Bahubali', 'Prabhas', 'Rana Daggubati', 'SS Rajamouli', 'MM Keeravani', 'Tamannaah', 'Anushka', 'Sathya Raj', 'baahubali 2', 'Baahubali 2 – The Conclusion', 'Baahubali 2 – The Conclusion motion poster', '#baahubali', 'motion', 'poster']",PT2M28S,2179916,99063,4024,
HyTVj7yODjU,R.I.P. Brainrot..,CaylusBlox,2025-11-05T19:28:20Z,20,"['caylusblox', 'caylus roblox', 'caylus', 'caylus gaming', 'caylus infinite', 'infinite lists', 'calus', 'callus', 'calis', 'roblox', 'caylus horror', 'caylus scary', 'caylus scariest', 'caylus scary myths', 'caylus creepy', 'caylus roblox horror', 'caylus roblox scary', 'R.I.P. Brainrot..', 'brainrot', 'caylus steal a brainrot', 'caylus aura', 'caylus stream', 'caylus steal a brainrot update', 'caylus rip brainrot']",PT14M12S,429165,6345,1828,
DxkN7gqHx0U,Lauryn Hill - Ex-Factor,Old Memories,2025-11-04T16:37:41Z,22,"['80s music hits', 'best 80s songs', '80s greatest hits', '80s hits', '80s songs', 'best old songs', '80s oldies music', 'greatest 80s songs', 'best 80s hits', 'best oldies song of 1980', 'the best of 80s oldies', '80s songs playlist', 'old songs all time', 'Lauryn Hill - Ex-Factor', 'Ex-Factor', 'Lauryn Hill']",PT5M27S,578342,1143,8,
c_YrKdMPw2k,Honest Trailers | Peacemaker,Screen Junkies,2025-11-04T18:00:54Z,1,[],PT9M47S,263078,12805,809,
E4NGIiiyn9w,I Secretly Cheated in ADMIN Lucky Block Race!,jetski,2025-11-05T14:00:23Z,20,"['jetski', 'jetski blox', 'jetski roblox', 'jetski blox fruit', 'Secretly Cheating in a Lucky Block Race', 'i secretly cheated in a lucky block race!', 'i secretly cheated in ADMIN Lucky Block Race', 'cheating in a lucky block race', 'i cheated in a lucky block race', 'cheating in ADMIN Lucky Block Race', 'cheating in an ADMIN Lucky Block Race']",PT20M31S,684287,7600,1410,
NnW9qdCefTs,IV OF SPADES - Rewind (Official Lyric Video),IV OF SPADES,2025-11-05T10:00:43Z,10,"['iv of spades', 'aura', 'nanaman', 'mundo', 'unique salonga', 'zild benitez', 'blaster silonga', 'badjao de castro', 'opm', 'cup of joe', 'december avenue', 'bini', 'sb19', 'ben and ben', 'indie rock', 'alternative', 'sino', 'cozy cove', 'wish', 'pinoy music', 'filipino music', 'eraserheads', 'rivermaya', 'rico blanco', 'konsensya', 'ely buendia', 'suliranin', 'sindi', 'araw gabi']",PT3M43S,299233,6044,708,
9I4FKW0tlFU,"Delhi Crime: Season 3 | Official Trailer | Shefali Shah, Huma Qureshi, Rasika Dugal | Netflix",Netflix India,2025-11-04T09:01:11Z,24,"['Huma Qureshi', 'Mita Vasisht', 'Next On Netflix', 'Rajesh Tailang', 'Rasika Dugal', 'Sayani Gupta', 'Shefali Shah', 'crime', 'delhi crime', 'delhi crime 3', 'delhi crime netflix', 'delhi crime new season', 'delhi crime season 3', 'delhi crime series', 'delhi crime trailer', 'delhi police', 'emmy award', 'huma qureshi movies', 'human trafficking', 'new season', 'official trailer', 'real case', 'real story', 'shefali shah movies', 'shefali shah new series', 'web series']",PT2M32S,4813604,24716,680,
y8dTWkVi2cQ,DISPATCH Episode 5 & 6 Gameplay Walkthrough FULL GAME  [4K 60FPS] - No Commentary,MKIceAndFire,2025-11-05T20:00:08Z,20,"['Dispatch', 'Dispatch Game', 'Dispatch Episode 5', 'Dispatch Episode 6', 'Dispatch Gameplay', 'Dispatch Walkthrough Part 1', 'MKIceAndFire', 'No', 'Commentary', 'Dispatch Ending', 'Dispatch Full Game', 'PS5 Pro', 'PS5', 'Xbox Series X', 'PS4', 'PC', 'Video Game', 'Campaign', 'Singleplayer']",PT1H35M5S,103275,6513,512,
7BODJ6wGOVo,Romeo Santos - Imitadora (Letra),sweetblue.,2025-11-05T01:33:24Z,10,"['recomendados', 'sped up', 'letra en español', 'lyrics', 'español', 'sub español', 'traducción', 'tiktok', 'edit', 'sweetblue', 'recomendación', 'para ti', 'búsquedas', 'letra', 'musica', 'musica independiente', 'trend']",PT3M55S,1249880,1846,40,
Pe1OYjL6uHg,The Mummy 4 Teaser 2028: It Finally Happened!,Emergency Awesome,2025-11-05T18:08:31Z,24,[],PT11M58S,54090,3118,619,
GWQIodExGok,Dispatch Episode 5 & 6 - All Choices & Romance Options,MELOO,2025-11-05T20:02:19Z,20,"['All Characters', 'All Ultimates', 'Boss Fight', 'Open World', 'P5X', 'Dispatch Episode 3', 'Dispatch Episode 4', 'Dispatch All Choices', 'All Endings', 'Blonde Blazer']",PT8M15S,132245,4101,365,
j6OqLm0lQ68,KISS OF LIFE (키스오브라이프) 'Lucky' Official Music Video,KISS OF LIFE,2025-11-04T15:00:04Z,10,"['KISS OF LIFE', '키스오브라이프', 'KIOF', '키오프', 'JULIE', 'NATTY', 'BELLE', 'HANEUL', '쥴리', '나띠', '벨', '하늘', '일본', '데뷔', '도쿄', '미션', '스타트', 'TOKYO', 'MISSION', 'START', 'DEBUT', '커밍순', 'JAPAN', 'Lucky', '럭키', '행운', '컴백', '티저', 'Teaser', '뮤비', 'MV', 'Music', 'video', '뮤직', '비디오', '포춘쿠키', '캡슐', '가챠', 'comeback']",PT3M23S,1444897,44070,3587,
FLMF5Cz6xXY,THE BEST UPCOMING ACTION MOVIES 2025 & 2026 (Trailers),KinoCheck.com,2025-11-05T17:16:21Z,24,"['2025', '28 Years Later 2: The Bone Temple', 'A Knight of the Seven Kingdoms', 'Altered', 'Avatar 3: Fire and Ash', 'Cold Storage', 'Crime 101', 'Dust Bunny', 'Fallout', 'Greenland 2: Migration', 'Jujutsu Kaisen: Execution', 'KinoCheck', 'Masters of the Universe', 'Mercy', 'Mortal Kombat 2', ""Now You See Me 3: Now You Don't"", 'Playdate', 'Predator: Badlands', 'Sisu 2: Road to Revenge', 'The Best Upcoming Action Movies 2025 & 2026', 'The Family Plan 2', 'The Mandalorian & Grogu', 'The Running Man', 'Troll 2', 'trailer']",PT54M41S,28432,270,16,
HPJMWvIvd8s,Exposing 25 STEAL A BRAINROT SECRETS..,KAYE,2025-11-05T23:39:43Z,20,"['KAYE', 'Steal A Brainrot', 'Roblox', 'Exposing 25 STEAL A BRAINROT SECRETS..', 'exposing', 'secrets', 'roblox game', 'steal anything']",PT11M13S,58397,2330,620,
QQeRB8H34-E,"Sean Kingston - Beat It (Lyrics) ft. Chris Brown & Wiz Khalifa | He aint fly no, he dont even drive",After Beats,2025-11-04T19:07:52Z,10,"['beat it - (sean kingston) lyrics', '(sean kingston) lyrics - beat it', 'sean kingston beat it', 'beat it', 'sean kingston', 'sean kingston _ beat it (lyrics)', 'sean kingston - (beat it ) after beats', 'chris brown', 'wiz khalifa']",PT4M14S,226406,426,6,
fcVyno0jG7Y,PEAK: The Roots Update | Launch Trailer,Aggro Crab,2025-11-05T17:59:13Z,22,[],PT1M1S,33945,3804,177,
B_f68VdFcOg,I Paid WAY TOO MUCH for this..,Tyler & Snowi,2025-11-05T22:42:01Z,20,"['roblox', 'funny', 'moments', 'roblox funny moments', 'funny moments', 'roblox funny games', 'roblox obby', 'roblox obby games', 'roblox obby gameplay', 'roblox obby speedrun', 'roblox pay to win', 'roblox pay to win games', 'roblox pay 2 win', 'roblox pay to win simulators', 'pay to win', 'pay 2 win', 'pay to win roblox', 'pay 2 win roblox', 'pay to win roblox games', 'pay to win roblox simulator', 'roblox obby story', 'roblox rage', 'roblox rage bait', 'roblox rage game', 'rage games', 'rage game roblox', 'roblox rage quit']",PT18M3S,116344,10095,153,
zfD3BVRTuN4,James Arthur - Impossible (Lyrics),Aura Country,2025-11-03T16:11:48Z,10,"['country music', 'auracountry', 'james arthur', 'impossible', 'james arthur impossible', 'impossible james arthur', 'james arthur impossible lyrics', 'impossible james arthur lyrics', 'james arthur lyrics impossible', 'impossible lyrics james arthur', 'james arthur lyrics', 'impossible lyrics', 'lyrics james arthur', 'lyrics impossible', 'James Arthur - Impossible', 'Tell them all I know now Shout it from the rooftops', 'Write it on the skyline All we had is gone now', 'Tell them I was happy And my heart is broken']",PT3M30S,3302954,6296,47,
2rzftzj1Pho,The Sythn's Plan To Enslave The Predator Race (2025) Fight Scene | Predator: Badlands New Trailers,MovieGasm‍․com,2025-11-05T19:21:42Z,1,"['trailer', 'movies', '2025', 'movie', 'trailers', 'predator badlands', 'predator badlands opening scene', 'Predator: Badlands scene', ""The Sythn's Plan To Enslave The Predator Race (2025) Fight Scene"", 'action scene', 'alien vs predator', 'new trailers', 'Predator: Badlands clip', 'final scene', 'Predator: Badlands final scene', 'Predator: Badlands fight scenes', 'fight', 'scene', 'movie clip', '4k', 'sci-fi', 'action', 'Predator: Badlands (Movie)', 'moviegasm', '#2']",PT9M46S,19940,408,50,
WCrK_wHVROQ,J'ai Pêché le Plus Gros POISSON de Roblox ! (Ultra rare) ,Unchained_Off,2025-11-05T16:00:23Z,20,"['unchained', 'unchained_off', 'unchained fortnite', 'fortnite', 'jeu vidéo', 'squeezie', 'gameplay', 'drole', 'gratuit', 'unchained gaming', 'fortnite battle royale', 'vbucks', 'mise à jour', 'maj', 'fortnite maj', 'fortnite chapitre', 'skin gratuit', 'unchained map', 'roblox', 'unchained roblox', 'robux', 'secret', 'roblox brainrot', 'steal a brainrot', 'voler brainrot', 'Brainrot', 'brainrot secret', 'plus rare', 'brainrot', 'skin', 'unchained skin', 'ultra rare', 'og', 'admin abuse', 'event', 'nouveau', 'admin', 'pêche', 'pêche le', 'poisson roblox', 'roblox pêche']",PT27M28S,251289,7480,753,
lSfZi29lTUw,JamBeats - Autumn Nights (Original Mix),JamBeats,2025-11-04T07:19:24Z,10,"['dndm & jambeats', 'voices', 'dndm remix', 'jamshidshoox shavkatov', 'miami music', 'jamshidshoox beats', 'miami', 'jambeats love', 'orginal mix', 'jambeats', 'dndm', 'jama pubg', 'bella ciao', 'bella ciao dndm cover', 'tenrtakcha klip', 'mirjalol neamtov', 'mirjalol remix', 'jambeats orginal mix', 'still you', 'Night & Broken', 'dndm night', 'Deep Feelin', 'dndm sound', 'dndm xamdam sobirov', 'javad', 'javad khamid', 'javad remix', 'car music mix', 'dndm & jambeats - voices']",PT5M29S,1824225,3969,63,
