video_id,title,channel_title,published_at,category_id,tags,duration,views,likes,comments,region
67JOBIX2MsU,"Don’t Stop Believin’ - Music Travel Love & Friends (at Shura Island, The Red Sea)",Music Travel Love,2025-11-05T01:00:02Z,10,"['Music Travel Love', 'musictravellove', ""Don't Stop Believing"", ""Don't Stop Believin"", 'Red Sea', 'Acoustic Cover', 'Live', 'Lyrics', 'Classic songs', 'Music Travel Love Songs', 'Best Covers', 'Zena Emad', 'Hamza Hawsawi', 'Zena Emad Songs']",PT3M40S,1588983,7531,316,
NQypHE9_Fm4,Five Nights at Freddy's 2 | Official Trailer 2,Universal Pictures,2025-11-05T05:02:37Z,24,[],PT1M45S,3073378,241107,9454,
8q6tDjxpajQ,NO MORE SECRETS (Dispatch 5 & 6),jacksepticeye,2025-11-05T17:00:13Z,20,['jacksepticeye'],PT2H11M26S,739668,64502,4446,
I3IcQsfC7jA,One Direction - Night Changes (Lyrics),7clouds,2025-11-05T15:42:11Z,10,"['night changes', 'night changes lyrics', 'lyrics night changes', 'one direction', 'lyrics', 'one direction night changes', 'night changes one direction', 'one direction night changes lyrics', 'lyrics one direction night changes', 'one direction lyrics', 'lyrics night changes one direction', 'night changes one direction lyrics', ""We're only gettin' older baby"", ""And I've been thinkin' about it lately"", 'Does it ever drive you crazy', 'Even when the night changes', 'It will never change me and you', 'pop', 'music']",PT3M47S,441241,1731,91,
-INxQXu9utM,Dress To Impress x Wicked: For Good | 2025 Cinematic Gameplay Trailer,Dress To Impress,2025-11-05T16:00:07Z,20,[],PT3M10S,137884,16382,2699,
OPZoLZBXD0Y,RATED R. RATED R. RATED R. | Dispatch (Episode 3 + 4),CoryxKenshin,2025-11-04T22:49:53Z,20,"['dispatch', 'dispatch game', 'gameplay', 'episode 3', 'episode 4', 'walkthrough', 'playthrough', 'turnover', 'restructure', 'rated r', 'blonde blazer', 'date', 'invisigal', 'movie', 'choice', 'coryxkenshin', 'cory', 'kenshin', 'funny', 'hilarious', 'moments', 'edits', 'reaction']",PT1H52M19S,3445511,291581,30866,
DxkN7gqHx0U,Lauryn Hill - Ex-Factor,Old Memories,2025-11-04T16:37:41Z,22,"['80s music hits', 'best 80s songs', '80s greatest hits', '80s hits', '80s songs', 'best old songs', '80s oldies music', 'greatest 80s songs', 'best 80s hits', 'best oldies song of 1980', 'the best of 80s oldies', '80s songs playlist', 'old songs all time', 'Lauryn Hill - Ex-Factor', 'Ex-Factor', 'Lauryn Hill']",PT5M27S,578342,1143,8,
Fez90c6_E78,"Stranger Things - Season 5 Volume 1 Trailer | NETFLIX | 26 November, 2025",Galactic Trailer,2025-11-04T15:00:26Z,1,"['Stranger Things season 5', 'Stranger Things 5', 'Stranger Things 5 trailer', 'stranger things 5 teaser trailer', 'stranger things season 5 trailer', 'stranger things season 5 teaser', 'Stranger Things Final Season trailer', 'Stranger Things 5 teaser trailer', 'stranger things 5 teaser', 'stranger things trailer', 'stranger things 5 teaser trailer netflix', 'Stranger Things Season 5 trailer', 'Stranger Things Season 5 teaser trailer', 'Stranger Things Season 5 episodes', 'when is stranger things season 5']",PT1M33S,35227,475,20,
E4NGIiiyn9w,I Secretly Cheated in ADMIN Lucky Block Race!,jetski,2025-11-05T14:00:23Z,20,"['jetski', 'jetski blox', 'jetski roblox', 'jetski blox fruit', 'Secretly Cheating in a Lucky Block Race', 'i secretly cheated in a lucky block race!', 'i secretly cheated in ADMIN Lucky Block Race', 'cheating in a lucky block race', 'i cheated in a lucky block race', 'cheating in ADMIN Lucky Block Race', 'cheating in an ADMIN Lucky Block Race']",PT20M31S,684287,7600,1410,
TN4LP7j5cbo,JISOO X ZAYN - EYES CLOSED (OFFICIAL LYRIC VIDEO),JISOO,2025-11-04T15:00:04Z,10,"['YG Entertainment', 'YG', '와이지', 'K-po\u200bp', 'BLACKPINK', '블랙핑크', '블핑', '지수', 'JISOO', 'BLINK', '블링크', 'jisoo', 'BLISSOO', 'Zayn', 'Eyes Closed', 'MUSICVIDEO', 'MV']",PT3M1S,4988674,56632,3835,
