video_id,title,channel_title,published_at,category_id,tags,duration,views,likes,comments,region
Pwey9qx8DOM,"Laxmi Purana ଲକ୍ଷ୍ମୀ ପୁରାଣ - Manabasa Gurubar Puja ମାଣବସା ଗୁରୁବାର ବହିଗୀତ | Namita Agrawal,Gita Dash",Odia Bhaktidhara,2025-11-05T22:30:08Z,10,"['odia bhaktidhara', 'odia bhakti', 'odia bhajan', 'odia janana', 'odia bhakti song', 'odia bhajan audio jukebox', 'odia purana', 'odia gahani gita', 'best odia bhajan', 'top odia bhajan', 'sidharth bhakti bhajan', 'sarthak music bhajan', 'jagannath bhajan', 'odia shiva bhajan', 'best old odia bhajan', 'odia gahani', 'namita agrawal', 'odia bhakti gita', 'new odia bhajan']",PT1H41M33S,50706,2986,196,
GJKsRRX3v1Q,Baahubali - The Eternal War Part 1 Teaser (Hindi) | Prabhas | Ishan Shukla | SS Rajamouli | 2027,Baahubali Movie,2025-11-04T14:59:00Z,1,"['Baahubali Trailer', 'Bahubali', 'Prabhas', 'Rana Daggubati', 'SS Rajamouli', 'MM Keeravani', 'Tamannaah', 'Anushka', 'Sathya Raj', 'baahubali 2', 'Baahubali 2 – The Conclusion', 'Baahubali 2 – The Conclusion motion poster', '#baahubali', 'motion', 'poster']",PT2M28S,2179916,99063,4024,
oCKCPVtm5Kk,ESCAPE THE INDIAN HORROR TRAIN | ANANT EXPRESS,Techno Gamerz,2025-11-05T03:30:42Z,20,"['anant express', 'choo choo charles', 'horror train game', 'horror escape', 'choo choo charles story', 'horror island', 'maze', 'puzzle', 'ujjwal', 'techno gamerz']",PT53M29S,3235639,172788,15547,
Onw2C7e2BN8,"Rab Kare Tujhko Bhi 8K | Mujhse Shaadi Karogi | Salman Khan,Priyanka Chopra | Alka Y, Udit N",T-Series,2025-11-05T13:18:25Z,10,"['hindi songs 2025', 'bollywood songs 2025', 'bollywood movies 2025', 'tseries', 'tseries songs', 'rab kare tujhko bhi', 'rab kare tujhko bhi song salman khan', 'rab kare tujhko bhi salman khan', 'rab kare tujhko bhi pyar ho jaye', 'rab kare tujhko bhi pyaar ho jaaye', 'rab karo tujhko bhi priyanka chopra', 'rab kare tujhko bhi song', 'rab kare tujhko bhi pyar ho jaye song', 'rab kare tujhkp bhi full song', 'rab kare tujhko bhi song full', 'rab kare tujhko bhi pyar ho jaaye', 'rab kare tujhko bhi pyaar ho jaye']",PT3M46S,503549,3033,138,
m43HC9T9YM8,Mastiii 4 - Official Trailer| Riteish Deshmukh | Vivek Oberoi | Aftab Shivdasani | 21st Nov,Zee Studios,2025-11-04T06:40:28Z,1,"['Zee Studios', 'Bollywood Cinema', 'Hindi Cinema', 'Bollywood movie', 'Latest bollywood movie', 'upcoming bollywood movie', 'Promo', 'Trailer', 'Teaser', 'zee', 'entertainment', 'popular', 'famous', 'superhit', 'Blockbuster movie']",PT3M5S,9276006,125574,30227,
9znBMvmAvGk,[HINDI] Semi Finals — CEGC 2025 BGMI Day 2 #cegc  #battlegroundsmobileindia,Skyesports,2025-11-05T12:49:27Z,20,"['skyesports', 'skyesports league', 'chennai', 'mumbai', 'delhi', 'hyderabad', 'kolkata', 'bengaluru', 'punjab', 'rajasthan', 'sk rossi', 'rafaa', 'binks', 'mortal live', 'thug', 'ghatak', 'pubg live', 'kronten', 'global esports', 'premier league', 'bgmi', 'india', 'indian esports', 'indian gaming', 'gaming', 'indian gamers', 'soul', 'godlike', 'blind esports', 'scout', 'scout op']",PT5H7M55S,1652084,47908,92,
d4ZnKIffzOI,New Song 2025 | Betaab Dil | Emraan Hashmi | Yami Gautam | New Hindi Song | Romantic Song,Sarit Dutta,2025-11-03T04:42:56Z,10,"['betaab dil', 'new song 2025', 'new hindi song', 'hindi song', 'hindi song 2025', 'new hindi song 2025', 'new song 2025 hindi', 'emraan hashmi', 'emraan hashmi songs', 'emraan hashmi new song', 'yami gautam', 'yami gautam new song', 'yami gautam songs', 'emraan hashmi yami gautam', 'romantic song', 'new romantic song', 'romantic hindi song', 'romantic song hindi', 'new hindi songs', 'bollywood songs', 'hindi gaane', 'naye hindi gaane', 'love song']",PT3M20S,2691870,8092,188,
aEa1Dn_tOkA,Shiva Movie 4K Official Trailer | King Nagarjuna | RGV | Amala Akkineni | In Theatres Nov 14th,Annapurna Studios,2025-11-04T12:00:02Z,24,"['annapurna studios', 'Shiva movie 4K trailer', 'Shiva 4K', 'Nagarjuna Shiva', 'Ram Gopal Varma Shiva', 'Amala Shiva movie', 'Annapurna Studios', 'Nagarjuna 4K trailer', 'Shiva re-release', 'Shiva Telugu movie', 'RGV Shiva trailer', 'Nagarjuna classic movie', 'Akkineni Nagarjuna', 'Telugu cult classic', 'Shiva full movie 4K', 'Shiva movie remastered', 'Allu Arjun', 'Prabhas', 'ss rajamouli', 'NTR', 'megastar', 'sandeep reddy vanga', 'sekhar kammula', 'mahesh babu', 'nani', 'mani ratnam', 'Nov 14th', 'amala akkineni']",PT3M33S,1215925,32677,1251,
WJthUn_gPkk,NZ vs WI | 1st T20I | Highlights | West Indies Tour Of New Zealand 2025,Sony Sports Network,2025-11-05T10:53:51Z,17,"['cricket highlights', 'sports highlights', 'live cricket score', 'live cricket', 'cricket score', 'live cricket match today', 'cricket matches', 'cricket live now', 'cricket live', 'T20I', 'new zealand cricket', 'west indies cricket', 'nz vs wi cricket live', 'nz vs wi cricket', 'WI Tour Of New Zealand schedule', 'WI Tour Of New Zealand highlights', 'WI vs NZ T20I', 'West Indies Tour Of New Zealand HLS', 'cricket', 'sports', 'NZ vs ENG', 'NZ vs ENG hls', 'cricket on sony sports', 'West Indies Tour Of New Zealand 2025']",PT9M21S,676955,13737,353,
lTW-A5X6xks,Gall Me Aandhi - Aman Jaji | Pranjal Dahiya | Raj Mawar | New Haryanvi Song 2025,Aman Jaji,2025-11-05T05:35:08Z,10,"['gall me aandhi', 'haryanvi song', 'haryanvi songs', 'new haryanvi song', 'new haryanvi songs', 'pranjal dahiya', 'pranjal dahiya new song', 'pranjal dahiya song', 'raj mawar song', 'raj mawar new song', 'raj mawar', 'aman jaji', 'aman jaji new song']",PT2M28S,245448,473,17,
